"Status","Name","Duration in ms","Description"
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_override_load_configuration_in_jmx.test_terminate_test[jmeter_test_with_engines_threads]","100723",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_override_load_configuration_in_jmx.test_teardown[jmeter_test_with_engines_threads]","7361",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_auto_jmx.test_autojmx_versions_via_test[jmeter_3.0.jmx-expected8]","983",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_master_scenarios.test_master_scenarios_v4_url","135104",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_dedicated_ips.test_run_dedicated_ips_v4_test","252222",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_schedules.test_repeating_schedule","304148","Test execution with schedule that has a repeating cron"
"skipped","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_reports_data.TestStaticReport.test_logs_report[v4]","2",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_workspace.test_workspace_localization[\u0633\u0645\u0627\u0648\u064a]","233",""
"broken","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_report_timeline_report.test_timeline_kpis_invalid_scenario_filter","57",""
"skipped","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_user.test_update_report_fields_invalid_values[True]","179",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_shared_folders.test_upload_to_invalid_folder[deleted]","160",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_account_features.test_toggle_flag_value_validation[1-400]","253",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_unlimited_testing.test_run_test_without_concurrency[Dummy_Sampler.jmx]","75491",""
"failed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_cloud_location.test_amazon_locations_running[Amazon Web Services]","988144",""
"skipped","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_opl_support_matrix.test_opl_coverage_matrix[setup_ec2_instance4]","1","Assumes private key name in environment variables and key in local .ssh"
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_shared_folders.test_create_illegal_folder_name[=]","193","Based on: http://docs.aws.amazon.com/AmazonS3/latest/dev/UsingMetadata.html"
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_file_parsing.test_delete_main_file","9702",""
"skipped","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_rps.test_set_invalid_rps_values[0]","70",""
"failed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_remote_control.test_distinct_api_updated[sampler1_201_sampler_202]","185657",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_usage_alerts.test_create_alert_with_illegal_mail_negative[robocop-Invalid email]","158",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_shared_folders.test_delete_shared_folder","1045",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_taurus_cloud.test_hosts_plugin[None]","166725",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_auto_jmx.test_autojmx_versions_via_test[jmeter_2.12.jmx-expected6]","908",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_auto_jmx.test_autojmx_versions_via_test[jmeter_5.1.jmx-expected12]","823",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_user.test_update_user_profile[firstName-Robo-True]","160",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests./home/jenkins/workspace/API-TEST-BZA/api-testing/api_testing/tests/test_yaml_and_shared_folder.test_yaml_and_shared_folder_test.test_check_link_folder_files_command_is_added_to_merged_yml[yaml_without_involved_files]","156156",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_user.test_user_name_localization[\xe9\xf4\u0153\xe5\xf8]","319",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_account_features.test_toggle_flag_value_validation[enable-204]","252",""
"failed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_reports_share.test_shared_master_report_working","437",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_auto_jmx.test_autojmx_versions_via_info[jmeter_2.12.jmx-expected6]","1222",""
"skipped","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_report_mail_notifications.test_onprem_test_results_mail","1","Verify that test result email from private cloud environments doesn't display labels info"
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_functional_test_usage_report.test_functional_test_usage_report_negative[accounts-11111111-True]","156",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_taurus_cloud.test_taurus_cloud_async_start","92042",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_snippet.test_get_snippet","317",""
"skipped","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_user.test_disable_membership_feature","1",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_unlimited_testing.test_run_test_with_concurrency_above_unlimited[Dummy_Sampler.jmx]","359216",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_remote_control_v4.test_multi_test","180118",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_account.test_upgrade_subscription_invalid_plan[ -No such plan]","402",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_workspace.test_update_workspace","228",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_wipe_account.TestWipeAccount.test_verify_wiped_account","170",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_report_mail_notifications.test_results_mail","302502","Verify that test result is received by user"
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_user.test_generate_api_key[365]","228",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_override_load_configuration_in_jmx.test_verify_test_load_configuration_values_in_jmx[jmeter_test_with_concurrency]","550",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_workspace.test_workspace_localization[\xe9\xf4\u0153\xe5\xf8]","219",""
"skipped","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_shared_folders.test_get_files_data","348",""
"failed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_reports_data.TestStaticReport.test_errors_report[v3]","311",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests./home/jenkins/workspace/API-TEST-BZA/api-testing/api_testing/tests/test_multi_test.test_add_to_running_multi.test_add_existing_test_to_running_multi","115729",""
"skipped","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_reports_data.TestStaticReportExternalAccess.test_request_stats_report_on_prem_external_access[v3]","1",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_account.test_mail_received_on_canceled_subscription","23949",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_shared_folders.test_create_illegal_folder_name[ ]","178","Based on: http://docs.aws.amazon.com/AmazonS3/latest/dev/UsingMetadata.html"
"skipped","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_reports_data.TestStaticReportExternalAccess.test_summary_report_on_prem_access_external[v3]","2",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_move_tests.test_move_test_sanity_on_projects[XXXXX-BadRequestException]","1509",""
"broken","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_taurus_cloud.test_taurus_cloud","364512",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_account.test_invitation_invalid_roles[InvalidStructureRole-Invalid structure, parameters are expected to be arrays-workspaces_id1-accountRoles-None]","478",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_override_load_configuration_in_jmx.test_verify_created_test[jmeter_test_no_override]","1256",""
"skipped","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_cli_args.TestCliArgsExternalAccess.test_cli_args_in_original_test_conf_report[jmeter_test_cli_args_console_and_engine_different_use_console]","394",""
"broken","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_taurus_cloud_pause_resume.TestPauseResume.test_pause","55",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_taurus_cloud_file_validator.test_start_info_validations[params0]","10630",""
"skipped","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_http_test_basic_actions.TestBasicActionsExternalAccess.test_duplicate_test_access_from_external","2",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_unlimited_testing.test_run_test_with_concurrency_below_unlimited[Dummy_Sampler.jmx]","152133",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_account.test_account_name_localization[\u03b5\u03bb\u03bb\u03b7\u03bd\u03b9\u03ba\u03ac]","192",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_jmeter_split_csv.test_split_csv_negative","239265","
    :type not_split_csv_test: blazemeter.JmeterTest
    "
"skipped","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_opl_support_matrix.test_opl_coverage_matrix[setup_ec2_instance7]","1","Assumes private key name in environment variables and key in local .ssh"
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_shared_folders.test_create_illegal_folder_name[:]","200","Based on: http://docs.aws.amazon.com/AmazonS3/latest/dev/UsingMetadata.html"
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_workspace.test_disable_none_empty_workspace","648",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_auto_jmx.test_autojmx_versions_via_test[2_7.jmx-expected1]","814",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_shared_folders.test_create_shared_folder","547",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_account.test_termination_api_permissions[standard-403]","11894",""
"passed","api_testing..home.jenkins.workspace.API-TEST-BZA.api-testing.api_testing.tests.test_usage_alerts.test_negative_alerts_triggered","471379",""
